0,0,186.500000000
0,1,210.400000000
0,2,210.300000000
0,3,234.200000000
0,4,203.500000000
0,5,201.500000000
0,6,204.900000000
0,7,196.000000000
0,8,199.100000000
0,9,237.100000000
0,10,173.800000000
1,0,235.500000000
1,1,270.800000000
1,2,242.800000000
1,3,289.300000000
1,4,279.100000000
1,5,219.200000000
1,6,209.700000000
1,7,209.200000000
1,8,210.400000000
1,9,216.400000000
1,10,232.300000000
2,0,193.700000000
2,1,254.700000000
2,2,213.900000000
2,3,220.800000000
2,4,168.300000000
2,5,161.600000000
2,6,176.300000000
2,7,177.200000000
2,8,205.300000000
2,9,254.400000000
2,10,214.900000000
3,0,242.400000000
3,1,245.100000000
3,2,294.800000000
3,3,321.000000000
3,4,311.600000000
3,5,212.700000000
3,6,177.800000000
3,7,271.400000000
3,8,210.900000000
3,9,252.900000000
3,10,276.800000000
4,0,278.900000000
4,1,247.400000000
4,2,192.300000000
4,3,198.100000000
4,4,260.200000000
4,5,281.900000000
4,6,208.700000000
4,7,278.800000000
4,8,201.000000000
4,9,218.900000000
4,10,220.900000000
5,0,197.300000000
5,1,258.200000000
5,2,251.000000000
5,3,221.600000000
5,4,153.800000000
5,5,170.100000000
5,6,190.800000000
5,7,159.900000000
5,8,133.800000000
5,9,254.200000000
5,10,231.000000000
6,0,230.600000000
6,1,261.500000000
6,2,266.000000000
6,3,230.300000000
6,4,237.500000000
6,5,283.500000000
6,6,215.800000000
6,7,232.900000000
6,8,252.500000000
6,9,201.600000000
6,10,190.700000000
7,0,238.100000000
7,1,226.700000000
7,2,250.600000000
7,3,209.100000000
7,4,233.800000000
7,5,287.700000000
7,6,251.400000000
7,7,199.900000000
7,8,181.700000000
7,9,182.600000000
7,10,162.500000000
8,0,250.500000000
8,1,245.600000000
8,2,248.600000000
8,3,169.200000000
8,4,285.800000000
8,5,237.800000000
8,6,262.100000000
8,7,236.100000000
8,8,212.400000000
8,9,273.800000000
8,10,224.800000000
9,0,234.900000000
9,1,276.700000000
9,2,263.000000000
9,3,259.600000000
9,4,231.300000000
9,5,225.300000000
9,6,253.200000000
9,7,250.900000000
9,8,230.500000000
9,9,251.400000000
9,10,276.500000000
10,0,251.900000000
10,1,232.300000000
10,2,201.200000000
10,3,204.000000000
10,4,228.500000000
10,5,253.800000000
10,6,251.700000000
10,7,212.800000000
10,8,149.100000000
10,9,247.100000000
10,10,240.800000000
